newspaper_event_id,short_description,newspaper_text,activation_boolean,follow_newspaper_id,follow_newspaper_time_break,probability,typ,spezial_date
-1,Königliche Tragödie erschüttert das Land,"Das Land ist in Trauer, nachdem bekannt wurde, dass der königliche Prinz auf mysteriöse Weise verstorben ist. Die genauen Umstände seines Todes sind noch unbekannt, doch der Palast spricht von einer persönlichen Tragödie.",True,,,3.0,Infos um die Königsfamilie,25.03
-1,Verschwörungstheorien über den Tod des Prinzen breiten sich aus,"In den Straßen Londons kursieren die wildesten Theorien über den Tod des Prinzen. Einige behaupten, es handele sich um einen Mord, während andere glauben, dass dunkle Mächte im Spiel sind. Die Polizei fordert die Bevölkerung zu Ruhe und Geduld auf.",True,84.0,2.0,2.0,Infos um die Königsfamilie,26.03
-1,Skandal im Königshaus – Verdacht auf Mordanschlag,"Es gibt immer mehr Hinweise darauf, dass der Tod des Prinzen kein Unfall war, sondern ein gezielter Mordanschlag. Die königliche Familie hat angekündigt, alles zu tun, um die Wahrheit ans Licht zu bringen.",True,85.0,3.0,3.0,Gesellschaft,27.03
-1,Einbruch im Palast – Wichtige Beweise verschwinden,"Wenige Tage nach dem Tod des Prinzen kam es zu einem Einbruch im Palast. Einbrüche dieser Art sind sehr selten, und die Polizei vermutet, dass die Täter Beweise im Zusammenhang mit dem Tod des Prinzen gesucht haben.",True,86.0,2.0,3.0,Einbruch,28.03
-1,Königliche Familie fordert Aufklärung und Gerechtigkeit,"Der König hat öffentlich erklärt, dass er alles tun wird, um den Mord an seinem Sohn aufzuklären. Der Palast ist nun in ständiger Angst vor weiteren Angriffen.",True,87.0,3.0,3.0,Infos um die Königsfamilie,29.03
-1,Ein Unternehmer revolutioniert die Eisenbahnindustrie,"Der Unternehmer Charles W. Jackson hat heute eine neue Eisenbahnstrecke eröffnet, die Londons Handel mit dem Norden erheblich beschleunigen soll. Experten sind sich einig, dass dies der Beginn einer neuen Ära im Transportwesen ist.",True,,,3.0,Wirtschaft,01.04
-1,Jacksons neue Strecken verzeichnen enorme Besucherzahlen,"Die neue Eisenbahnlinie hat bereits in den ersten Tagen Hunderttausende von Reisenden angezogen. Die Gesellschaft des Unternehmers expandiert weiter, und Jackson wird als der nächste Großindustrielle gefeiert.",True,89.0,2.0,2.0,Wirtschaft,02.04
91,Eröffnung des jährlichen Eisenbahn-Festivals in London,"London feiert das jährliche Eisenbahn-Festival. Diesmal wird Charles W. Jackson selbst anwesend sein, um seine Innovationen vorzustellen und zu zeigen, wie seine Eisenbahnen das Leben der Bevölkerung verändert haben.",True,90.0,3.0,3.0,Veranstaltung,04.04
92,Kritik an Jacksons Geschäftspraktiken – Sind seine Methoden ethisch?,"Trotz des Erfolges des Unternehmers gibt es Stimmen, die Jacksons Geschäftspraktiken als unethisch bezeichnen. Einige behaupten, er habe seine Arbeiter schlecht behandelt, um den Profit zu maximieren.",True,91.0,2.0,2.0,Wirtschaft,06.04
93,Jacksons Eisenbahn-Imperium wächst weiter – Die Zukunft der Industrie,"Mit der Eröffnung weiterer Strecken und dem Ausbau seines Imperiums zeigt Jackson keine Anzeichen von Stagnation. Experten sind sich einig, dass er die Zukunft der Eisenbahnindustrie maßgeblich prägen wird.",True,92.0,3.0,3.0,Wirtschaft,07.04
94,Neujahrsansprache des Königs,"Der König von Großbritannien hält seine jährliche Neujahrsansprache, in der er auf das vergangene Jahr zurückblickt und die Ziele der Monarchie für das kommende Jahr darlegt.",True,,,3.0,Infos um die Königsfamilie,01.01
95,Faschingsumzug in London,London feiert den Faschingsumzug mit prachtvollen Kostümen und Umzügen durch die Straßen der City. Besonders beliebt sind die Maskenbälle in den gehobenen Gesellschaften.,True,,,3.0,Feste,15.02
96,Frühjahrsmarkt in Covent Garden,"Der jährliche Frühjahrsmarkt in Covent Garden öffnet seine Tore. Händler aus ganz England bringen ihre Waren, von frischen Blumen bis hin zu handgefertigten Produkten.",True,,,3.0,Veranstaltung,01.04
97,Eröffnung der Londoner Weltausstellung,"Die Londoner Weltausstellung öffnet ihre Tore und präsentiert die neuesten technologischen Fortschritte, darunter die ersten Dampfmaschinen und innovative Maschinenbaukunst.",True,,,3.0,Wirtschaft,01.05
98,Eröffnung der neuen Eisenbahnstrecke von London nach Brighton,Mit großer Begeisterung wird die neue Eisenbahnverbindung zwischen London und Brighton eröffnet. Die Strecke verkürzt die Reisezeit erheblich und revolutioniert den Tourismus an der Südküste.,True,,,3.0,Wirtschaft,15.06
99,Prozession zum Erntedankfest,"Eine große Prozession zum Erntedankfest findet in der St. Paul’s Cathedral statt. Bauern und Handwerker bringen ihre Gaben dar, und die Königin nimmt an den Feierlichkeiten teil.",True,,,3.0,Feste,15.10
100,Königliche Hochzeit im Buckingham Palace,Das ganze Land schaut auf die königliche Hochzeit von Prinz Albert und Königin Victoria. Die Feierlichkeiten umfassen eine prächtige Prozession und ein Festmahl im Buckingham Palace.,True,,,3.0,Infos um die Königsfamilie,10.02
101,Jahrmarkt in East End,"Der jährliche Jahrmarkt im East End von London lockt mit Karussells, Ständen für handgefertigte Produkte und traditionellen Spielen, die vor allem die ärmeren Bezirke Londons ansprechen.",True,,,3.0,Veranstaltung,20.07
102,Charity-Ball im Mansion House,Im Mansion House wird ein wohltätiger Ball zugunsten der Arbeiter und Armen Londons veranstaltet. Die Spenden werden an lokale Waisenhäuser und Krankenhäuser verteilt.,True,,,3.0,Gesellschaft,05.11
103,Königliche Jagd im Windsor Forest,Die königliche Familie trifft sich zur traditionellen Jagd im Windsor Forest. Mitglieder des Adels und prominente Gäste nehmen an diesem Ereignis teil.,True,,,3.0,Infos um die Königsfamilie,25.12
104,Eröffnung des Crystal Palace,"Der Crystal Palace wird eröffnet, ein Wahrzeichen der industriellen Revolution in London, das Ausstellungen und Weltausstellungen beherbergen soll.",True,,,3.0,Wirtschaft,01.06
105,Londoner Pferderennen im Epsom Downs,Das berühmte Pferderennen in Epsom Downs zieht jährlich Tausende von Schaulustigen und Wettenden aus ganz England an.,True,,,3.0,Veranstaltung,02.06
106,Eröffnung des Hyde Park Winter Wonderland,"Im Winter wird das Hyde Park Winter Wonderland eröffnet, eine festliche Veranstaltung mit Eislaufbahnen, Karussells und einem großen Weihnachtsmarkt.",True,,,3.0,Fest,01.12
107,Kunst- und Handwerksmarkt in Kensington,"Der Kunst- und Handwerksmarkt in Kensington präsentiert lokale Künstler und Handwerker, die ihre einzigartigen Werke ausstellen und verkaufen.",True,,,3.0,Veranstaltung,10.09
108,Gedenkfeier für den Sieg von Waterloo,Im Stadtzentrum von London findet eine große Gedenkfeier für den Sieg von Waterloo statt. Die Königsfamilie und hochrangige Militärs nehmen an der Parade teil.,True,,,3.0,Infos um die Königsfamilie,18.06
109,Ritterturnier in Windsor,"In Windsor wird ein traditionelles Ritterturnier abgehalten, bei dem die besten Ritter des Landes um den Titel des Königs kämpfen.",True,,,3.0,Veranstaltung,14.08
110,Theateraufführung im West End,"Eine neue Theateraufführung im West End von London sorgt für Begeisterung. Das Stück, das auf einem historischen Ereignis basiert, zieht viele Theaterliebhaber an.",True,,,3.0,Veranstaltung,15.11
111,Märkte im Borough Market,"Der Borough Market feiert den Beginn des Winterverkaufs mit frischen Produkten, warmen Speisen und handgefertigten Waren aus ganz Großbritannien.",True,,,3.0,Veranstaltung,01.12
112,Arbeiterstreik in der Docklands,"In den Docklands kommt es zu einem Arbeiterstreik, da die Hafenarbeiter höhere Löhne und bessere Arbeitsbedingungen fordern. Die Situation ist angespannt.",True,,,3.0,Demonstrationen,20.03
113,Jubiläumsfeier der Queen Victoria,Die Bevölkerung feiert das 24-jährige Regierungsjubiläum von Königin Victoria mit einem großen Festzug und einer Reihe von Veranstaltungen in London.,True,,,3.0,Infos um die Königsfamilie,20.06
114,Festival der Wissenschaft und Technik,"Im Royal Albert Hall findet das jährliche Festival der Wissenschaft und Technik statt, bei dem die neuesten Innovationen der britischen Ingenieure und Wissenschaftler vorgestellt werden.",True,,,3.0,Wirtschaft,03.10
115,Gala-Dinner im Savoy Hotel,"Im berühmten Savoy Hotel findet ein exklusives Gala-Dinner statt, bei dem prominente Persönlichkeiten aus der britischen Gesellschaft und Kunstszene anwesend sind.",True,,,3.0,Gesellschaft,15.07
116,Frühjahrsreise nach Brighton,"Die Hochburg der britischen Sommergäste – Brighton – öffnet seine Tore und lädt zu einem exklusiven Frühjahrsurlaub ein, mit vielen Unterhaltungsmöglichkeiten entlang des Strandes.",True,,,3.0,Veranstaltung,10.05
117,Theaterstück im Globe Theatre,"Im Globe Theatre wird ein neues Shakespeare-Stück aufgeführt, das die Zuschauermengen in London fesselt und begeistert.",True,,,3.0,Veranstaltung,15.02
118,Hochzeit im Westminster Abbey,"Im Westminster Abbey wird eine königliche Hochzeit gefeiert. Die ganze Nation schaut zu, wenn das frisch vermählte Paar ihren Eheversprechen ablegt.",True,,,3.0,Infos um die Königsfamilie,01.05
119,Eröffnung des Londoner Zoo,"Der Londoner Zoo wird eröffnet und zieht viele neugierige Besucher an. Es ist der erste Zoo der Welt, der Tiere aus allen Teilen der Erde zeigt.",True,,,3.0,Veranstaltung,02.04
120,Kunstgalerie im Tate Modern,"Das Tate Modern eröffnet eine neue Ausstellung mit Werken aus der viktorianischen Zeit, die das künstlerische Erbe Englands ehrt.",True,,,3.0,Veranstaltung,10.08
121,Erste erfolgreiche Dampflokfahrt von London nach Edinburgh,"Die erste Dampflokfahrt von London nach Edinburgh war ein großer Erfolg. Die Reise, die Stunden schneller war als erwartet, ebnet den Weg für den interstädtischen Verkehr.",True,,,3.0,Wirtschaft,12.05
122,Der erste britische Flugzeugtest in Windsor,Ein mutiger Ingenieur aus Manchester hat in Windsor erfolgreich den ersten Flugzeugtest in Großbritannien durchgeführt. Die britische Luftfahrt hat jetzt einen ersten Fuß in die Geschichte gesetzt.,True,,,3.0,Wirtschaft,01.07
123,Gerüchte über die Entführung des Duke of Cornwall,"Gerüchte über die Entführung des Duke of Cornwall verbreiten sich in London. Während keine Bestätigung vorliegt, ist die Stadt in Aufruhr. Die Polizei bittet um Zeugenaussagen.",True,,,3.0,Infos um die Königsfamilie,23.04
124,Skandal im Parlament: Abgeordneter im Skandal um Korruption verwickelt,"Ein hochrangiger Abgeordneter des britischen Parlaments ist im Zusammenhang mit einem großen Korruptionsskandal festgenommen worden. Die Bevölkerung ist entsetzt, und die politische Szene erschüttert.",True,,,3.0,Politik,10.06
125,Erste öffentliche Lesung von Charles Dickens' neuestem Werk,"Charles Dickens gibt die erste öffentliche Lesung seines neuesten Romans. Die Veranstaltung ist ein riesiger Erfolg, und Tausende strömen in das Theater, um den Meister des viktorianischen Romans zu hören.",True,,,3.0,Gesellschaft,01.10
126,Geheime Gesellschaft plant Revolution in den Straßen Londons,Ein geheimes Treffen einer revolutionären Gesellschaft in den düsteren Gassen Londons wirft Schatten auf die politische Stabilität des Landes. Berichte deuten auf mögliche Umstürze hin.,True,,,2.0,Demonstrationen,15.08
127,Weltrekord im Bau der längsten Eisenbahnbrücke,Ingenieure in Großbritannien haben einen Weltrekord im Bau der längsten Eisenbahnbrücke aufgestellt. Dies ist ein monumentaler Erfolg der britischen Ingenieurskunst.,True,,,3.0,Wirtschaft,12.03
128,Ungeklärter Mordfall in den dunklen Gassen von Whitechapel,"Die Mordserie in Whitechapel geht weiter. Ein neuer, ungeklärter Mordfall hat die Öffentlichkeit erneut erschüttert und die Polizei steht unter Druck, den Fall zu lösen.",True,,,3.0,Einbruch,28.10
129,Königliche Reise nach Irland führt zu Aufruhr,"Königin Victoria und Prinz Albert reisen nach Irland. Währenddessen kommt es zu Protesten und Aufständen, als die Bevölkerung sich gegen die britische Herrschaft erhebt.",True,,,3.0,Infos um die Königsfamilie,05.06
130,Große Ausstellung für viktorianische Kunst in London,"Eine riesige Ausstellung für viktorianische Kunst wird im British Museum eröffnet. Die Ausstellung zeigt die besten Werke der viktorianischen Künstler, darunter Malerei, Skulpturen und Fotografie.",True,,,3.0,Veranstaltung,20.11
131,"Kritiker behaupten, der Big Ben sei nicht mehr zuverlässig","In einer scharfen Kritik haben führende Ingenieure behauptet, der Big Ben sei in seiner Funktionsweise nicht mehr zuverlässig und brauche dringend Reparaturen.",True,,,2.0,Wirtschaft,09.02
132,Abgeordnete im Parlament fordern Reformen nach Arbeiterprotesten,"Nach den jüngsten Arbeiterprotesten in London fordern Abgeordnete eine umfassende Reform des Arbeitsrechts, um die Lebensbedingungen der Arbeiterklasse zu verbessern.",True,,,3.0,Demonstrationen,15.05
133,Zweite Weltausstellung öffnet in London,Die zweite Weltausstellung in London zieht Besucher aus aller Welt an und präsentiert die neuesten Erfindungen und Technologien der Industrie.,True,,,3.0,Wirtschaft,01.05
134,Falkner der königlichen Familie gefangen in einem Sturm,Der Falkner der königlichen Familie ist während eines Ausflugs in den Yorkshire Dales in einem Sturm verloren gegangen. Glücklicherweise konnte er nach mehreren Tagen gerettet werden.,True,,,2.0,Gesellschaft,18.04
135,Das erste elektrische Licht in London erleuchtet die Straßen,Das erste elektrische Licht wird an einer Straßenecke in London installiert. Das bedeutende Ereignis wird von einer großen Menschenmenge bestaunt.,True,,,3.0,Wirtschaft,25.12
136,Neues Theaterstück von Oscar Wilde in London,Oscar Wilde präsentiert sein neuestes Theaterstück in London. Die Aufführung ist ein großer Erfolg und sorgt für Aufsehen in den Kreisen der Kunst- und Literaturwelt.,True,,,3.0,Gesellschaft,03.07
137,Der erste Automobiltest in London endet in einem Unfall,"Der erste Test eines Automobils in London endet mit einem spektakulären Unfall. Während das Fahrzeug einige Kilometer fuhr, konnte es seine Fahrt nicht erfolgreich fortsetzen.",True,,,3.0,Wirtschaft,15.08
138,Berühmte Opernaufführung im Covent Garden,"Eine neue, revolutionäre Oper wird im Covent Garden aufgeführt, die das Publikum begeistert und die britische Musikszene nachhaltig prägt.",True,,,3.0,Veranstaltung,20.09
139,Geheime Korrespondenz der Regierung wird geleakt,"Ein geheimes Dokument der Regierung, das wichtige politische Strategien und Allianzen betrifft, wird von einem unbekannten Informanten in die Presse geleakt.",True,,,2.0,Politik,22.03
140,Führende britische Sozialreformer starten neue Bewegung,Eine Gruppe prominenter Sozialreformer startet eine neue Bewegung für die Rechte der Arbeiter und die Verbesserung der Lebensbedingungen der Armen.,True,,,3.0,Demonstrationen,15.05
141,Das erste öffentliche Flugzeugrennen in London,"In London findet das erste öffentliche Flugzeugrennen statt, bei dem die besten Piloten aus ganz Großbritannien gegeneinander antreten.",True,,,3.0,Veranstaltung,08.10
142,Der erste öffentliche Wasserfall in einem Park,"In einem neu angelegten Park in London wird der erste öffentliche Wasserfall installiert. Tausende Besucher kommen, um das spektakuläre Naturereignis zu bestaunen.",True,,,3.0,Veranstaltung,22.06
143,Königin Victoria trifft sich mit ihren amerikanischen Verwandten,"Königin Victoria trifft sich mit entfernten Verwandten aus Amerika, was zu zahlreichen Gerüchten und Spekulationen über politische Allianzen führt.",True,,,3.0,Infos um die Königsfamilie,10.11
144,Erste elektrische Straßenbahn in London,London hat seine erste elektrische Straßenbahn auf die Straßen geschickt. Das Ereignis ist ein Meilenstein für die Verkehrsinfrastruktur der Stadt.,True,,,3.0,Wirtschaft,25.12
145,Neuer Brückenbau über den Themse-Fluss,"Eine neue Brücke über den Themse-Fluss wird eingeweiht, die den Verkehr zwischen East und West London erheblich verbessern soll.",True,,,3.0,Wirtschaft,05.05
146,Das erste Flugzeug von London nach Paris startet,"Der erste kommerzielle Flug von London nach Paris startet mit einer neuen, revolutionären Fluggesellschaft. Viele warten gespannt auf das Ergebnis.",True,,,3.0,Wirtschaft,14.09
147,Ein mysteriöser Fremder im Tower of London,"Ein mysteriöser Fremder wird in der Nähe des Tower of London gesehen, und Gerüchte über einen versuchten Einbruch oder einen geheimen Plan machen die Runde.",True,,,2.0,Einbruch,21.12
148,"Das erste Flugzeug, das in London landet",Ein Flugzeug aus Paris landet erfolgreich in London und eröffnet die Ära der internationalen Luftreisen.,True,,,3.0,Wirtschaft,18.10
149,Erste elektrische U-Bahn in London,London feiert die Eröffnung seiner ersten elektrischen U-Bahn. Die Strecke verbindet die zentralen Bezirke und sorgt für eine enorme Erleichterung des Pendelverkehrs.,True,,,3.0,Wirtschaft,03.09
150,Wiedereröffnung des British Museum nach Renovierung,Nach jahrelanger Renovierung öffnet das British Museum wieder seine Tore und wird mit neuen Ausstellungen und modernisierten Räumlichkeiten begrüßt.,True,,,3.0,Veranstaltung,21.12
151,Kollision der Dampfschiffe auf der Themse,"Heute Morgen ereignete sich eine dramatische Kollision zwischen zwei Dampfschiffen auf der Themse. Es wird vermutet, dass dichter Nebel und die Unkenntnis des neuen Navigationssystems zu dem Vorfall geführt haben.",True,,,2.0,Wirtschaft,17.07
152,Verbotene Wissenschaft: Alchemist in den Londoner Docklands entdeckt,"In den düsteren Docklands von London wurde ein Alchemist gefunden, der angeblich an einer alten Formel für die Erschaffung von Gold arbeitete. Die Polizei hat den Fall übernommen und alle Beweise beschlagnahmt.",True,,,3.0,Einbruch,22.08
153,Seltsame Lichter über dem Tower von London,"Gestern Nacht wurden mysteriöse Lichter über dem Tower of London gesehen. Ein örtlicher Astronom spricht von ungewöhnlichen Phänomenen, andere glauben an ein übernatürliches Ereignis.",True,,,2.0,Gesellschaft,03.11
154,Gerüchte über den geheimen Plan von Lord Blackwood,"Gerüchte aus der Oberschicht von London besagen, dass Lord Blackwood eine geheime Verschwörung plant, um die Krone zu stürzen. Obwohl noch nichts bestätigt wurde, sind die Gerüchte in den Salons der Stadt Gesprächsthema.",True,,,2.0,Politik,10.12
155,Große Pferdeschau in Hyde Park endet mit unerklärlichem Vorfall,"Die heute stattgefundene große Pferdeschau im Hyde Park endete mit einem mysteriösen Vorfall. Mehrere Pferde rannten wild durch die Menge, bevor sie plötzlich still standen und keiner konnte den Grund dafür erklären.",True,,,2.0,Veranstaltung,06.07
156,Abgeordneter verschwindet nach geheimem Treffen mit unbekanntem Fremden,Ein hochrangiger Abgeordneter verschwand nach einem geheimen Treffen mit einem mysteriösen Fremden. Spekulationen über politische Geheimverhandlungen und mögliche Spionage machen die Runde.,True,,,3.0,Politik,14.09
157,Geheime U-Bahn unter dem Buckingham Palast entdeckt,"In den letzten Tagen wurden in der Nähe des Buckingham Palasts geheime Tunnel entdeckt. Es wird vermutet, dass die Tunnel während der Kriege genutzt wurden, aber ihre wahre Nutzung bleibt ein Rätsel.",True,,,3.0,Einbruch,30.10
158,Unerklärliches Verschwinden von Kunstwerken im British Museum,"Ungefähr ein Dutzend wertvoller Kunstwerke sind im British Museum verschwunden. Die Polizei hat Ermittlungen aufgenommen, doch es gibt noch keine Erklärung für das Verschwinden der Gemälde und Skulpturen.",True,,,3.0,Einbruch,11.06
159,Erfindung eines Apparats zur Vorhersage von Naturkatastrophen,"Ein Ingenieur in London behauptet, eine Vorrichtung erfunden zu haben, die Naturkatastrophen wie Erdbeben und Stürme vorhersagen kann. Die wissenschaftliche Welt ist geteilt in ihrer Bewertung dieses angeblichen Durchbruchs.",True,,,3.0,Wirtschaft,20.05
160,Hochzeit des Jahrhunderts: Prinzessin Victoria heiratet Herzog von Cambridge,Heute fand die prachtvolle Hochzeit von Prinzessin Victoria und dem Herzog von Cambridge statt. Die königliche Familie und das gesamte Land jubelten diesem bedeutenden Ereignis zu.,True,,,3.0,Infos um die Königsfamilie,15.07
161,Berühmte Londoner Künstler veranstalten eine geheime Kunstausstellung,"Ein geheimes Treffen der führenden Londoner Künstler fand heute statt, bei dem neue Werke präsentiert wurden, die nicht der Öffentlichkeit zugänglich gemacht wurden. Die Werke sollen in den kommenden Wochen veröffentlicht werden.",True,,,3.0,Gesellschaft,02.11
162,Götterdämmerung im Tower: Geheimnisvolle Inschrift gefunden,"Im Tower of London wurde eine geheimnisvolle Inschrift entdeckt, die von einer längst vergessenen Kulturschicht zu stammen scheint. Einige Historiker sind überzeugt, dass es sich um eine Botschaft aus der Zukunft handelt.",True,,,2.0,Einbruch,21.08
163,Zeppelin von Frankfurt nach London erfolgreich,"Der erste Zeppelin, der von Frankfurt nach London flog, landete heute erfolgreich. Der Flug, der über den Ärmelkanal führte, war ein historischer Meilenstein für die Luftfahrt und wird als Beginn des Zeppelin-Zeitalters gefeiert.",True,,,3.0,Wirtschaft,03.10
164,Gefährlicher Spuk im alten Londoner Theater,Das historische Victoria-Theater in London steht im Mittelpunkt eines mysteriösen Vorfalls. Zahlreiche Berichte von Schauspielern und Zuschauern über seltsame Vorkommnisse und Erscheinungen sind zu einer lokalen Sensation geworden.,True,,,2.0,Gesellschaft,01.12
165,Erste Expedition in die Tiefen des Loch Ness,Ein Wissenschaftler aus London hat die erste Expedition zu den geheimen Tiefen des Loch Ness in Schottland geleitet. Die Expedition soll neue Erkenntnisse über die mysteriösen Erscheinungen im See bringen.,True,,,2.0,Veranstaltung,27.07
166,Die Rückkehr des wahren Königsmantels von König Arthur,"Nach jahrhundertelangen Spekulationen und Legenden ist der wahre Königsmantel von König Arthur in einem geheimen Ort in Cornwall wiederentdeckt worden. Experten vermuten, dass der Mantel magische Eigenschaften besitzen könnte.",True,,,3.0,Infos um die Königsfamilie,18.09
167,Das Verschwinden der königlichen Juwelen: Die Ermittlungen beginnen,"Die wertvollen königlichen Juwelen sind unter mysteriösen Umständen verschwunden. Die Polizei geht von einem ausgeklügelten Diebstahl aus, doch der wahre Täter bleibt unbekannt.",True,,,3.0,Einbruch,14.10
168,Elektrisches Licht macht die Straßen Londons sicherer,"Die Einführung von elektrischem Licht auf Londons Straßen hat die Sicherheit erheblich verbessert. Kriminalität in den Straßen ist gesunken, und die Londoner begrüßen die neue Beleuchtung als einen Fortschritt für ihre Stadt.",True,,,3.0,Wirtschaft,22.11
169,Ungewöhnliche Wetterphänomene in der Themse-Region,"Berichte über ein ungewöhnliches Wetterphänomen, bei dem es in der Themse-Region plötzlich zu einem extremen Temperaturabfall kam. Meteorologen sind ratlos, was dieses Ereignis ausgelöst haben könnte.",True,,,2.0,Gesellschaft,12.02
170,Die erste elektrische Straßenbahn in Manchester fährt,Manchester hat seine erste elektrische Straßenbahn in Betrieb genommen. Die Eröffnung ist ein großer Schritt in die Zukunft des öffentlichen Verkehrs und wird von der Bevölkerung begeistert aufgenommen.,True,,,3.0,Wirtschaft,05.05
171,Große Arktis-Expedition beginnt in London,"Eine ehrgeizige Arktis-Expedition verlässt heute London, um neue Gebirgsketten und unbekannte Gebiete im hohen Norden zu erforschen. Die Expedition ist eines der ehrgeizigsten Unternehmen des Jahrhunderts.",True,,,3.0,Veranstaltung,22.03
172,Dunkles Geheimnis im Buckingham Palast: Fremder unrechtmäßig eingedrungen,"Ein Fremder wurde dabei erwischt, als er in Buckingham Palast einbrach. Warum dieser Mann in den Palast eindrang, bleibt ein ungelöstes Rätsel.",True,,,2.0,Einbruch,10.08
173,Bühnenzauber: Weltpremiere der ersten Cinematographie-Show in London,"Die erste öffentliche Vorführung eines Films fand heute in London statt. Das neue Medium der Cinematographie zieht Tausende von Zuschauern an, die von der neuen Art der Unterhaltung begeistert sind.",True,,,3.0,Veranstaltung,01.06
174,Londoner Straßen von einem geheimen Mönch beherrscht,"Ein geheimnisvoller Mönch hat in den Londoner Straßen seine Spuren hinterlassen. Er verbreitet mystische Lehren, und viele glauben, dass er eine geheime, alte Religion wiederbelebt.",True,,,2.0,Demonstrationen,03.09
175,Ritterlicher Kampf auf dem königlichen Hof – Duell endet tragisch,Ein öffentliches Duell zwischen zwei Adligen auf dem königlichen Hof von London endet tragisch. Das blutige Ereignis wird von vielen als ein Symbol für die rückständigen Traditionen der britischen Aristokratie angesehen.,True,,,2.0,Gesellschaft,19.06
176,Versuchter Anschlag auf die königliche Familie während einer Parade,"Ein Anschlagsversuch auf die königliche Familie während einer Parade in London wurde glücklicherweise vereitelt. Die Täter wurden festgenommen, doch der Vorfall hat die öffentliche Meinung erschüttert.",True,,,3.0,Einbruch,27.12
177,Der mysteriöse Fund im Tower von London,"Bei Renovierungsarbeiten im Tower of London wurde ein geheimer Raum entdeckt. Darin fanden sich alte Manuskripte, die von einer längst vergessenen Wissenschaft sprechen, die den Menschen unsterblich machen soll.",True,,,3.0,Einbruch,10.02
178,Ungewöhnliche Leuchtphänomene im Tower,"Nachdem die geheimen Manuskripte im Tower von London entdeckt wurden, berichten mehrere Zeugen von mysteriösen Lichtern, die aus den Tiefen des Turms zu kommen scheinen. Einige glauben, die Entdeckung könnte zu einer übernatürlichen Entfaltung führen.",True,177.0,3.0,2.0,Gesellschaft,12.02
179,Wissenschaftler führen geheimen Versuch durch,"Ein Team von Wissenschaftlern hat in London ein Experiment gestartet, bei dem sie versuchen, die Geheimnisse der Manuskripte zu entschlüsseln. Gerüchten zufolge geht es dabei um eine neue Technologie zur Verlängerung des Lebens.",True,178.0,5.0,3.0,Wirtschaft,14.02
180,Geheime Verschwörung gegen den Premierminister,"Gerüchten zufolge hat eine Gruppe von hochrangigen Politikern eine Verschwörung gegen den Premierminister gesponnen, um die Regierung zu stürzen und das Land in eine neue politische Ära zu führen.",True,,,3.0,Politik,05.03
181,Abgeordneter in den Skandal verwickelt,"Ein bekannter Abgeordneter wurde dabei erwischt, wie er geheime Treffen mit ausländischen Diplomaten abhielt. Es wird vermutet, dass er Informationen über die Verschwörung gegen den Premierminister weitergab.",True,180.0,2.0,3.0,Politik,07.03
182,Verschwörung aufgeflogen: Polizei entdeckt geheime Zelle,"Die Polizei hat in einer verlassenen Fabrik in London eine geheime Zelle entdeckt, die von den Verschwörern genutzt wurde. Darin fanden sich detaillierte Pläne zur Umstürzung der Regierung und zur Manipulation der Wahlen.",True,181.0,4.0,3.0,Einbruch,09.03
183,Schatzkarte entdeckt: Der verlorene Schatz von King Arthur,"Ein ehrgeiziger Archäologe in London hat eine Schatzkarte entdeckt, die angeblich zu einem verborgenen Schatz führen soll, der von König Arthur selbst vergraben wurde. Experten sind sich uneinig über die Echtheit der Karte.",True,,,2.0,Wirtschaft,02.04
184,Die Suche nach dem Schatz beginnt,"Eine Expedition wird auf den Weg geschickt, um den verlorenen Schatz von König Arthur zu finden. Die Reise führt sie durch abgelegene Gebirgspfade und geheimnisvolle Orte, die mit Legenden umwoben sind.",True,183.0,5.0,3.0,Veranstaltung,05.04
185,Schatz gefunden: Das Geheimnis des Heiligen Grals,"Nach monatelanger Suche haben die Expeditionsteilnehmer den Schatz gefunden – und entdecken ein altes Artefakt, das dem sagenumwobenen Heiligen Gral ähneln soll. Der Fund sorgt für weltweites Aufsehen und ist ein heiß diskutiertes Thema.",True,184.0,3.0,3.0,Wirtschaft,10.04
186,Erfinder verschwindet unter mysteriösen Umständen,"Der berühmte Ingenieur Sir Thomas Blackwell, bekannt für seine bahnbrechenden Erfindungen, ist spurlos verschwunden. Experten vermuten, dass er auf eine geheime Erfindung gestoßen ist, die die Menschheit revolutionieren könnte.",True,,,3.0,Einbruch,15.05
187,Geheime Aufzeichnungen des Erfinders entdeckt,"Ein Assistent von Sir Thomas Blackwell hat geheime Aufzeichnungen seines Mentors gefunden. Diese Dokumente beinhalten Entwürfe für ein Gerät, das angeblich die Luftfahrt revolutionieren könnte und möglicherweise eine Gefahr für die Regierung darstellt.",True,186.0,5.0,2.0,Wirtschaft,18.05
188,Die Jagd nach Blackwells Erfindung,"Die Entwürfe von Sir Thomas Blackwell haben eine Jagd nach seiner geheimen Erfindung ausgelöst. Zahlreiche Interessengruppen versuchen, die Technologie zu erlangen, während die Polizei die Ermittlungen fortsetzt, um zu verhindern, dass sie in die falschen Hände gerät.",True,187.0,4.0,3.0,Einbruch,21.05
